,rates
AED,3.740109
AFN,91.959684
ALL,116.889238
AMD,416.488593
ANG,1.847514
AOA,439.944657
ARS,134.554743
AUD,1.468604
AWG,1.832873
AZN,1.730013
BAM,1.960456
BBD,2.069845
BDT,97.102007
BGN,1.958811
BHD,0.383929
BIF,2112.65695
BMD,1.018263
BND,1.414379
BOB,7.037304
BRL,5.375914
BSD,1.025149
BTC,4.4227149e-05
BTN,80.606896
BWP,12.846188
BYN,2.587982
BYR,19957.945757
BZD,2.066336
CAD,1.31003
CDF,2037.543438
CHF,0.974594
CLF,0.033574
CLP,926.404969
CNY,6.876533
COP,4386.125155
CRC,685.076587
CUC,1.018263
CUP,26.983957
CVE,110.524692
CZK,24.644197
DJF,182.495967
DKK,7.443428
DOP,55.853429
DZD,148.21797
EGP,19.370765
ERN,15.273938
ETB,53.954092
EUR,1.0
FJD,2.236054
FKP,0.85772
GBP,0.834833
GEL,2.774756
GGP,0.85772
GHS,8.789967
GIP,0.85772
GMD,55.648234
GNF,8865.779559
GTQ,7.92903
GYD,214.592104
HKD,7.993254
HNL,25.223256
HRK,7.514576
HTG,120.451749
HUF,396.552186
IDR,15173.639219
ILS,3.428811
IMP,0.85772
INR,80.374923
IQD,1496.149475
IRR,43072.505249
ISK,139.287827
JEP,0.85772
JMD,156.843686
JOD,0.722765
JPY,135.529215
KES,121.275384
KGS,84.657373
KHR,4203.04069
KMF,491.296518
KPW,916.436276
KRW,1335.914625
KWD,0.31227
KYD,0.854232
KZT,486.156611
LAK,15462.286177
LBP,1550.002819
LKR,374.179407
LRD,156.812387
LSL,17.024758
LTL,3.006665
LVL,0.615937
LYD,4.983906
MAD,10.582469
MDL,19.789782
MGA,4313.213884
MKD,61.761329
MMK,1898.016994
MNT,3202.089467
MOP,8.288319
MRO,363.519551
MUR,46.482213
MVR,15.752927
MWK,1052.915321
MXN,21.090794
MYR,4.538384
MZN,64.995482
NAD,17.025713
NGN,424.004263
NIO,36.806928
NOK,9.91664
NPR,128.976112
NZD,1.626084
OMR,0.392023
PAB,1.025018
PEN,3.982355
PGK,3.612129
PHP,56.74115
PKR,244.030768
PLN,4.709774
PYG,7024.581099
QAR,3.707517
RON,4.926332
RSD,117.363428
RUB,61.32489
RWF,1053.195992
SAR,3.829175
SBD,8.363588
SCR,13.250481
SDG,577.354705
SEK,10.409668
SGD,1.405676
SHP,1.402551
SLL,14108.027708
SOS,593.64689
SRD,24.989688
STD,21075.978686
SVC,8.969339
SYP,2558.414599
SZL,17.00372
THB,36.902255
TJS,10.471203
TMT,3.574102
TND,3.183596
TOP,2.384566
TRY,18.282013
TTD,6.955949
TWD,30.560398
TZS,2374.588683
UAH,37.859343
UGX,3976.303787
USD,1.018263
UYU,41.977632
UZS,11235.425262
VND,23798.832053
VUV,121.067368
WST,2.770662
XAF,657.527775
XAG,0.051166
XAU,0.000576
XCD,2.751905
XDR,0.773849
XOF,657.527775
XPF,119.644585
YER,254.820066
ZAR,17.021327
ZMK,9165.59148
ZMW,16.376322
ZWL,327.880122
